               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 149,              1.4952,             0.96018,              1.4612,             0.80733,             0.59683,             0.66212,             0.32393,                   0,                   0,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,               1.556,             0.99119,              1.4965,             0.84366,             0.54293,             0.62577,             0.31653,                   0,                   0,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,              1.5236,              0.9797,              1.4681,             0.23634,             0.17043,              0.1682,            0.065155,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                 152,              1.6218,              1.0421,              1.5461,             0.70641,             0.38283,             0.43893,             0.22689,                   0,                   0,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,              1.5276,              0.9697,              1.4684,              0.7901,             0.70137,              0.7104,             0.37505,                   0,                   0,                   0,           0.0069904,           0.0069904,           0.0069904
                 154,              1.5553,             0.98769,              1.4921,              0.7538,             0.43543,             0.49757,             0.25845,                   0,                   0,                   0,           0.0069706,           0.0069706,           0.0069706
                 155,              1.5386,             0.97152,              1.4483,             0.65067,             0.39243,             0.42046,             0.20818,                   0,                   0,                   0,           0.0069508,           0.0069508,           0.0069508
                 156,              1.5242,             0.98123,              1.4615,             0.82068,             0.48411,             0.57627,             0.28492,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                 157,               1.504,               0.952,              1.4436,             0.83816,             0.69724,             0.74317,             0.39567,                   0,                   0,                   0,           0.0069112,           0.0069112,           0.0069112
                 158,               1.525,             0.96908,              1.5035,             0.54116,             0.31198,             0.33014,             0.14585,                   0,                   0,                   0,           0.0068914,           0.0068914,           0.0068914
                 159,              1.4996,             0.95181,                1.46,              0.6717,             0.35426,             0.39669,             0.19929,                   0,                   0,                   0,           0.0068716,           0.0068716,           0.0068716
                 160,              1.5003,             0.95572,              1.4575,             0.86306,             0.67786,             0.75228,             0.39561,                   0,                   0,                   0,           0.0068518,           0.0068518,           0.0068518
                 161,              1.5465,             0.99534,              1.5088,             0.86061,              0.5271,             0.63104,             0.33724,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                 162,               1.439,             0.92082,              1.4351,             0.58051,             0.31386,             0.35688,             0.15686,                   0,                   0,                   0,           0.0068122,           0.0068122,           0.0068122
                 163,              1.5265,             0.97348,              1.4767,             0.75903,             0.64086,             0.67016,             0.36426,                   0,                   0,                   0,           0.0067924,           0.0067924,           0.0067924
                 164,              1.4635,             0.92487,              1.4431,              0.6249,             0.48644,             0.51453,              0.2499,                   0,                   0,                   0,           0.0067726,           0.0067726,           0.0067726
                 165,              1.5082,             0.96215,              1.4533,             0.71933,             0.55952,             0.59719,             0.29524,                   0,                   0,                   0,           0.0067528,           0.0067528,           0.0067528
                 166,              1.4641,             0.91156,              1.4296,             0.86918,             0.68596,             0.74905,             0.39057,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                 167,              1.5001,             0.93841,              1.4687,             0.81058,             0.69138,             0.74272,             0.38621,                   0,                   0,                   0,           0.0067132,           0.0067132,           0.0067132
